,Negative Peak Time,Negative Peak Energy,Negative Azimuth Angle,Positive Peak Time,Positive Peak Energy,Positive Azimuth Angle,Azimuthal Ram Time,Azimuthal Ram Angle,Flyby,FlybyDate,Flyby velocity,Actuation Direction,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle,Negative Deflection from Ram Angle,Positive Deflection from Ram Angle,ELS crosstrack velocity,IBS crosstrack velocity,Crosstrack velocity,Absolute Crosstrack velocity,Solar Zenith Angle,Altitude,Longitude,Latitude
45,2007-03-26 00:22:10.304630000,274.79998779296875,90.7338921140663,2007-03-26 00:22:06.568482000,60.790000915527344,87.01496342190694,2007-03-26 00:22:09.607079000,90.0383175618314,t27,26/3/2007,6223.143158376404,positive,88.87442776798662,2007-03-26 00:22:08.436556000,-1.1638897938447883,0.6955745522348877,-3.0233541399244643,75.54751373070704,-328.22723903573586,-126.40642543714664,126.40642543714664,151.54538706879362,1041.095501354357,2.457031602404802,34.114878197131084
46,2007-03-26 00:22:56.850979000,321.5,90.58179919117083,2007-03-26 00:23:00.159350000,66.04000091552734,87.2891263488782,2007-03-26 00:22:57.400538000,90.03497973404669,t27,26/3/2007,6226.347784538153,negative,88.93546277002451,2007-03-26 00:22:58.505164500,-1.0995169640221718,0.546819457124144,-2.7458533851684876,59.42211553930121,-298.27841862603725,-119.47747097368332,119.47747097368332,146.85201787557804,1014.1477248628413,359.54290864611926,38.46189849268929
47,2007-03-26 00:23:52.025142000,321.5,89.46266842205023,2007-03-26 00:23:49.625853000,64.94999694824219,87.07354401240445,2007-03-26 00:23:52.595948000,90.03061091349471,t27,26/3/2007,6226.449178395982,positive,88.26810621722734,2007-03-26 00:23:50.825497500,-1.7625046962673707,-0.5679424914444837,-2.9570669010902577,-61.71845778356407,-321.20784738709466,-191.5047729757718,191.5047729757718,141.84646995152588,1013.0048315466424,356.0690261125585,42.95107687110398
48,2007-03-26 00:24:40.687361000,235.0,89.74295356113271,2007-03-26 00:24:43.159545000,53.2400016784668,87.28309545609591,2007-03-26 00:24:40.401329000,90.02755953902107,t27,26/3/2007,6223.4632125126245,negative,88.51302450861431,2007-03-26 00:24:41.923453000,-1.514535030406762,-0.2846059778883614,-2.7444640829251625,-30.91375254074465,-297.9894980511588,-164.4895224347745,164.4895224347745,136.95128785416412,1038.5603922462926,352.1838891202284,47.188660367457345
49,2007-03-26 00:25:33.795705000,200.89999389648438,88.2327650463858,2007-03-26 00:25:31.809951000,38.869998931884766,86.25697149962616,2007-03-26 00:25:35.598372000,90.02638946942427,t27,26/3/2007,6218.128635834988,positive,87.24486827300598,2007-03-26 00:25:32.802828000,-2.7815211964182964,-1.7936244230384801,-3.7694179697981127,-194.62455962992715,-408.7879057757481,-301.7510851305301,301.7510851305301,132.15325403221027,1089.6332208015674,347.7595492833641,51.1707391382119
50,2007-04-10 22:56:00.391602000,200.89999389648438,90.74607187375477,2007-04-10 22:56:01.953654000,52.369998931884766,89.18706250190735,2007-04-10 22:56:01.040811000,90.09990589570836,t28,10/4/2007,6221.027086641612,negative,89.96656718783106,2007-04-10 22:56:01.172628000,-0.13333870787730007,0.6461659780464117,-0.9128433938010119,70.15753821954091,-99.10997432930918,-14.477557888319579,14.477557888319579,148.99557955090756,1061.8296461863802,5.438811703449368,39.74957443689288
51,2007-04-10 22:56:53.271332000,375.8999938964844,91.40074289785207,2007-04-10 22:56:51.219660000,71.73999786376953,89.3593314673717,2007-04-10 22:56:51.953665000,90.08966505711028,t28,10/4/2007,6226.109320776378,positive,90.38003718261189,2007-04-10 22:56:52.245496000,0.2903721255016052,1.3110778407417882,-0.7303335897385779,142.45729236011647,-79.36035907478963,31.553473457388776,31.553473457388776,144.0667871908704,1014.13960843862,2.512016408511769,44.236631914807006
52,2007-04-10 22:57:42.760770000,514.7999877929688,91.36885474044084,2007-04-10 22:57:45.060889000,80.55999755859375,89.08023863638846,2007-04-10 22:57:44.055580000,90.0805202209213,t28,10/4/2007,6228.643243878149,negative,90.22454668841465,2007-04-10 22:57:43.910829500,0.14402646749334735,1.2883345195195375,-1.0002815845328428,140.04347220942793,-108.73541992966528,15.657148686185218,15.657148686185218,138.96957336217312,992.3731489853623,358.98769118298236,48.77195731979916
53,2007-04-10 22:58:35.626891000,375.8999938964844,90.76463254368991,2007-04-10 22:58:33.633037000,72.94000244140625,88.77391386032104,2007-04-10 22:58:34.928077000,90.06895328236276,t28,10/4/2007,6228.078828265475,positive,89.76927320200548,2007-04-10 22:58:34.629964000,-0.2996800803572768,0.6956792613271574,-1.295039422041711,75.61881270763708,-140.75942294180484,-32.5752205409668,32.5752205409668,133.93323331638052,997.3868797025855,354.83459287605683,53.11801076775359
54,2007-04-10 22:59:25.556468000,321.5,91.57724296402375,2007-04-10 22:59:27.904235000,59.790000915527344,89.23669528961182,2007-04-10 22:59:27.079454000,90.06147652735912,t28,10/4/2007,6224.29677865859,negative,90.40696912681778,2007-04-10 22:59:26.730351500,0.34549259945866595,1.5157664366646344,-0.8247812377473025,164.64528043979857,-89.59658016901919,37.532178813014774,37.532178813014774,128.80650478732133,1029.6314994318043,349.6712100893602,57.353676709198226
55,2007-04-26 21:29:52.283554000,67.1500015258789,87.73745069780853,2007-04-26 21:29:50.783322000,21.40999984741211,86.23867220904322,2007-04-26 21:29:54.656764000,90.09873071931747,t29,26/4/2007,6210.654929444054,positive,86.98806145342587,2007-04-26 21:29:51.533438000,-3.1106692658916018,-2.3612800215089464,-3.860058510274257,-255.88175236868426,-418.0999111146064,-337.01965802777306,337.01965802777306,147.94328682318283,1154.001993365626,10.18551803595492,42.91303706546117
56,2007-04-26 21:30:44.851748000,125.0999984741211,86.6023111896975,2007-04-26 21:30:45.977594000,38.22999954223633,85.47643951201098,2007-04-26 21:30:41.357389000,90.08354147216215,t29,26/4/2007,6219.853928944126,negative,86.03937535085424,2007-04-26 21:30:45.414671000,-4.04416612130791,-3.481230282464651,-4.607101960151169,-377.67919573291135,-499.5940743629244,-438.6578071951909,438.6578071951909,142.90408570925518,1069.499206464557,7.572566145552411,47.60448206959702
57,2007-04-26 21:31:36.182898000,321.5,88.62481974897491,2007-04-26 21:31:34.034504000,60.790000915527344,86.48722657703911,2007-04-26 21:31:37.640428000,90.07502690378458,t29,26/4/2007,6225.575837470184,positive,87.55602316300701,2007-04-26 21:31:35.108701000,-2.5190037407775634,-1.450207154809661,-3.587800326745466,-157.55803897846965,-389.5841706663835,-273.6187093272099,273.6187093272099,138.07752420381658,1015.8779809064195,4.5901795273682,52.03023228617187
58,2007-04-26 21:32:25.874578000,439.3999938964844,88.56644849666918,2007-04-26 21:32:28.065989000,74.1500015258789,86.38594598647614,2007-04-26 21:32:24.370411000,90.06313346320137,t29,26/4/2007,6229.067160677817,negative,87.47619724157266,2007-04-26 21:32:26.970283500,-2.5869362216287044,-1.496684966532186,-3.677187476725223,-162.6976893819449,-399.5010940983392,-281.15029005005596,281.15029005005596,132.92099129779479,986.0023852147048,0.6783211545844087,56.65468237042133
59,2007-04-26 21:33:18.885257000,514.7999877929688,88.33122607812311,2007-04-26 21:33:16.973482000,74.1500015258789,86.42392586947153,2007-04-26 21:33:20.613522000,90.05080809510267,t29,26/4/2007,6229.343951861476,positive,87.37757597379732,2007-04-26 21:33:17.929369500,-2.6732321213053467,-1.7195820169795581,-3.6268822256311353,-186.9292973296779,-394.06063706395764,-290.5352103134323,290.5352103134323,127.80742979339895,983.247198575852,355.7365735726098,61.084558229042216
60,2007-04-26 21:34:08.470370000,439.3999938964844,88.97120161075873,2007-04-26 21:34:10.585979000,53.2400016784668,86.8631882062,2007-04-26 21:34:07.394037000,90.04217875835803,t29,26/4/2007,6226.484233211679,negative,87.91719490847936,2007-04-26 21:34:09.528174500,-2.1249838498786744,-1.070977147599308,-3.178990552158041,-116.37914816037409,-345.2921049848047,-230.87469046932804,230.87469046932804,122.66019483733449,1007.3863424654274,349.18316852483423,65.30124604339431
61,2007-04-26 21:35:00.464801000,200.89999389648438,87.91045635027604,2007-04-26 21:34:59.392288000,39.52000045776367,86.84029461473165,2007-04-26 21:35:02.597907000,90.03284565071203,t29,26/4/2007,6221.172594017318,positive,87.37537548250384,2007-04-26 21:34:59.928544500,-2.6574701682081923,-2.122389300435998,-3.1925510359803866,-230.3962151993857,-346.4676671059283,-288.444519475001,288.444519475001,117.73437205606233,1056.598339776054,340.714719408897,68.97325781921265
62,2007-05-12 20:08:56.807866000,601.7999877929688,96.45217183606292,2007-05-12 20:08:54.077710000,106.75,94.09515910153823,2007-05-12 20:08:52.645678000,92.6702884633864,t30,12/5/2007,6230.232013383801,positive,95.27366546880057,2007-05-12 20:08:55.442788000,2.603377005414174,3.7818833726765178,1.4248706381518303,410.93611940919595,154.92170175965362,282.98877138186504,282.98877138186504,128.00097035219784,979.4689658861734,4.901436558719196,62.98082495959713
63,2007-05-12 20:09:37.995128000,1319.0,94.02274627761199,2007-05-12 20:09:40.837222000,84.66000366210938,91.19486879499163,2007-05-12 20:09:41.119145000,90.91435649605727,t30,12/5/2007,6232.4255439403205,negative,92.60880753630181,2007-05-12 20:09:39.416175000,1.6944510402445445,3.1083897815547203,0.2805122989343687,337.9534461490287,30.512981024771342,184.28932666213484,184.28932666213484,123.58399361577578,961.3144891433924,0.34684887607871495,66.96065595928538
64,2007-05-12 20:10:34.264683000,1544.0,91.29133630018714,2007-05-12 20:10:32.085027000,79.2300033569336,89.12257357466478,2007-05-12 20:10:31.421670000,88.46253189077068,t30,12/5/2007,6231.8743248733945,positive,90.20695493742596,2007-05-12 20:10:33.174855000,1.7444230466552852,2.8288044094164633,0.6600416838941072,307.5548085311247,71.7889848221056,189.70587145543968,189.70587145543968,118.16029572513048,966.0495056529289,352.2843281619473,71.58682838846526
65,2007-05-12 20:11:24.015070000,704.2999877929688,91.01304348674603,2007-05-12 20:11:27.106451000,74.1500015258789,87.93712597219564,2007-05-12 20:11:27.660339000,87.38600597015639,t30,12/5/2007,6227.896068547832,negative,89.47508472947084,2007-05-12 20:11:25.560760500,2.0890787593144466,3.6270375165896382,0.551120002039255,393.98589164406957,59.9043279569685,227.0268932355687,227.0268932355687,112.93077242645023,999.0286357735214,340.04635074666015,75.53268111865573
