,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Azimuthal Ram Time,Heavy Anion Peak Time,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Peak Time,Heavy Cation Azimuth Angle,Azimuthal Angle to Heavy Ion,Azimuthal Angle to Ram,Deflection from Bulk,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle
2007-05-12 20:08:52.382951,5.847754113486063,,92.4088755176972,92.85141811624347,2007-05-12 20:08:52.827718,,,t30,-0.5500008249999999,ibs,positive,2007-05-12 20:08:54.021921,94.03964889944291,-1.630773381745712,-0.4425425985462681,-2.9160032579929975,95.3248787756902,2007-05-12 20:08:55.494258500,2.4734606594467294
2007-05-12 20:08:52.545971,10.418165277626,,92.57108013964898,92.84478358378729,2007-05-12 20:08:52.821050,,,t30,-0.5500008249999999,ibs,positive,2007-05-12 20:08:54.021921,94.03964889944291,-1.468568759793925,-0.27370344413830594,-2.7537986360412106,95.3248787756902,2007-05-12 20:08:55.494258500,2.4800951919029046
2007-05-12 20:08:52.653605,12.862685677184427,,92.67817592188112,92.84040324399878,2007-05-12 20:08:52.816648,,,t30,-0.5500008249999999,ibs,positive,2007-05-12 20:08:54.021921,94.03964889944291,-1.3614729775617889,-0.16222732211765845,-2.6467028538090744,95.3248787756902,2007-05-12 20:08:55.494258500,2.484475531691416
2007-05-12 20:08:52.677790,15.095939720866118,,92.70223991358307,92.83941900692855,2007-05-12 20:08:52.815659,,,t30,-0.5500008249999999,ibs,positive,2007-05-12 20:08:54.021921,94.03964889944291,-1.3374089858598381,-0.1371790933454804,-2.6226388621071237,95.3248787756902,2007-05-12 20:08:55.494258500,2.4854597687616433
2007-05-12 20:08:52.770356,20.04002502329602,,92.7943429979814,92.83565197339345,2007-05-12 20:08:52.811872,,,t30,-0.5500008249999999,ibs,positive,2007-05-12 20:08:54.021921,94.03964889944291,-1.2453059014615064,-0.041308975412050586,-2.530535777708792,95.3248787756902,2007-05-12 20:08:55.494258500,2.4892268022967414
2007-05-12 20:08:52.774018,17.707255311626934,,92.79798679289797,92.83550294358682,2007-05-12 20:08:52.811723,,,t30,-0.5500008249999999,ibs,positive,2007-05-12 20:08:54.021921,94.03964889944291,-1.2416621065449363,-0.03751615068884462,-2.526891982792222,95.3248787756902,2007-05-12 20:08:55.494258500,2.489375832103377
2007-05-12 20:08:53.076972,38.34870969453225,,93.09942565802703,92.82317448071173,2007-05-12 20:08:52.799332,,,t30,-0.5500007958333333,ibs,positive,2007-05-12 20:08:54.180651,94.19758571531747,-1.0981600572904426,0.27625117731530224,-2.2254531176631644,95.3248787756902,2007-05-12 20:08:55.494258500,2.5017042949784667
2007-05-12 20:08:54.390151,169.56052050410298,6.759337790740821,94.40603886474128,92.76974355644374,2007-05-12 20:08:52.745633,2007-05-12 20:08:56.807866,96.45217183606292,t30,-0.5500007666666666,els,positive,,,-2.04613297132164,1.6362953082975338,-0.9188399109489183,95.3248787756902,2007-05-12 20:08:55.494258500,2.555135219246452
2007-05-12 20:08:59.263451,8.40817786746664,5.096265592958446,98.36498161548116,92.56894699451006,2007-05-12 20:08:52.543827,2007-05-12 20:08:56.807866,96.45217183606292,t30,-0.5500006208333333,els,positive,,,1.9128097794182395,5.796034620971099,3.0401028397909613,95.3248787756902,2007-05-12 20:08:55.494258500,2.755931781180138
2007-05-12 20:09:13.839878,3.693156248718137,5.826051163638926,104.0778649897693,91.95725344719767,2007-05-12 20:09:02.000000,2007-05-12 20:08:56.807866,96.45217183606292,t30,-0.5512502625,els,extrema,,,7.625693153706379,12.120611542571623,11.463764007631198,92.6141009821381,2007-05-12 20:09:39.410855000,0.6568475349404252
2007-05-12 20:09:32.189177,8.525962481705712,2.186628043414337,99.00330424308777,91.16743049145825,2007-05-12 20:09:40.864798,2007-05-12 20:09:37.995128,94.02274627761199,t30,-0.5591666916666667,els,negative,,,4.980557965475782,7.835873751629521,6.389203260949671,92.6141009821381,2007-05-12 20:09:39.410855000,1.4466704906798498
