Peak Time,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Azimuth Angle,Heavy Anion Azimuthal Deflection,Heavy Cation Azimuthal Deflection,Azimuthal Angle to Ram,Abs Azimuthal Angle to Ram,Deflection from Bulk,Bulk Deflection from Ram
19:16.1,9.233991103,,93.16992569,89.9980798,,t17,-0.7075,ibs,positive,94.53770447,,-1.36777878,3.171845888,3.171845888,-0.859235831,-0.508542949
19:16.3,11.42237631,,93.35178947,89.99808032,,t17,-0.7075,ibs,positive,94.53770447,,-1.185914997,3.353709155,3.353709155,-0.677372049,-0.508542949
19:16.3,13.34998345,,93.38118381,89.99808041,,t17,-0.7075,ibs,positive,94.53770447,,-1.156520657,3.383103398,3.383103398,-0.647977708,-0.508542949
19:16.4,15.60132962,,93.44794048,89.99808065,,t17,-0.7075,ibs,positive,94.53770447,,-1.08976399,3.449859827,3.449859827,-0.581221042,-0.508542949
55:46.7,5.305412851,,57.5119785,65.14498163,,t20,-0.700416667,ibs,positive,61.82813263,,-4.316154125,-7.633003126,7.633003126,-2.709952419,-1.606201706
55:48.1,7.367051421,,58.89786057,65.37864024,,t20,-0.700416667,ibs,positive,61.82813263,,-2.930272064,-6.48077967,6.48077967,-1.324070358,-1.606201706
55:48.6,9.379410151,,59.4736014,65.47578777,,t20,-0.700416667,ibs,positive,61.82813263,,-2.354531231,-6.00218637,6.00218637,-0.748329525,-1.606201706
55:49.0,11.60172309,,59.81524278,65.53345596,,t20,-0.700416667,ibs,positive,61.82813263,,-2.012889848,-5.718213174,5.718213174,-0.406688141,-1.606201706
55:49.1,13.47596065,,59.89572394,65.54698622,,t20,-0.700833333,ibs,positive,61.82813263,,-1.932408687,-5.651262282,5.651262282,-0.32620698,-1.606201706
55:49.3,15.87566066,,60.15858895,65.59114875,,t20,-0.700833333,ibs,positive,61.82813263,,-1.669543676,-5.432559795,5.432559795,-0.06334197,-1.606201706
55:52.8,7.160942423,-57.4000451,63.57011784,66.16709718,65.80802917,t20,-0.702083333,els,positive,,-2.237911334,,-2.596979337,2.596979337,-0.631709627,-1.606201706
55:53.0,2.961263453,-57.74465389,63.8116354,66.2081069,65.80802917,t20,-0.702083333,els,positive,,-1.996393779,,-2.396471509,2.396471509,-0.390192073,-1.606201706
